time,vehicle_id,status,x,y,soc,battery,battery_capacity,load,load_ratio,capacity,speed,idle,current_time
2596.0,1,idle,16.001172734764772,13.928429525952911,0.8765676433832218,87.65676433832218,100.0,0.0,0.0,150.0,2.0,1,3107.8763697653903
2596.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2626.0,1,idle,16.001172734764772,13.928429525952911,0.8765676433832218,87.65676433832218,100.0,0.0,0.0,150.0,2.0,1,3137.8763697653903
2626.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2656.0,1,idle,16.001172734764772,13.928429525952911,0.8765676433832218,87.65676433832218,100.0,0.0,0.0,150.0,2.0,1,3167.8763697653903
2656.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2686.0,1,idle,0.0,0.0,0.8235323557233052,82.35323557233052,100.0,0.0,0.0,150.0,2.0,1,3208.4834272973735
2686.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2718.0,1,idle,0.0,0.0,0.8235323557233052,82.35323557233052,100.0,0.0,0.0,150.0,2.0,1,3240.4834272973735
2718.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2750.0,1,idle,0.0,0.0,0.8235323557233052,82.35323557233052,100.0,0.0,0.0,150.0,2.0,1,3272.4834272973735
2750.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2782.0,1,idle,0.0,0.0,0.8235323557233052,82.35323557233052,100.0,0.0,0.0,150.0,2.0,1,3302.4834272973735
2782.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2814.0,1,idle,0.0,0.0,0.8235323557233052,82.35323557233052,100.0,0.0,0.0,150.0,2.0,1,3332.4834272973735
